case,scheme,cells,velocity,physical_diffusivity,duration,steps,dt,l1_error,order,mass_drift,effective_diffusivity,excess_diffusivity
advection,upwind,40,1.0,0.0,0.5,50,0.01,0.06950288303643734,,-1.7763568394002505e-15,0.012475906581920174,0.012475906581920174
advection,upwind,80,1.0,0.0,0.5,100,0.005,0.03692891938218135,0.9123217763764657,-3.1086244689504383e-15,0.006246991716303054,0.006246991716303054
advection,upwind,160,1.0,0.0,0.5,200,0.0025,0.01903950184972008,0.955755314461732,-6.328271240363392e-15,0.003124624071239045,0.003124624071239045
advection,upwind,320,1.0,0.0,0.5,400,0.00125,0.009667343797956307,0.9778042784345442,-1.27675647831893e-14,0.001562453012244768,0.001562453012244768
advection,mc,40,1.0,0.0,0.5,50,0.01,0.004030062356878741,,-1.3322676295501878e-15,0.00010195616221858447,0.00010195616221858447
advection,mc,80,1.0,0.0,0.5,100,0.005,0.0010458518399310112,1.9461236742466026,-2.9976021664879227e-15,1.1888008419783888e-05,1.1888008419783888e-05
advection,mc,160,1.0,0.0,0.5,200,0.0025,0.00027061073652532853,1.950387502676037,-6.328271240363392e-15,1.4115151025250326e-06,1.4115151025250326e-06
advection,mc,320,1.0,0.0,0.5,400,0.00125,6.760406046548185e-05,2.0010372735913915,-1.2545520178264269e-14,1.7045282596875645e-07,1.7045282596875645e-07
mixed,upwind,40,-0.7,0.01,0.5,55,0.00909090909090909,0.04129011929958667,,-1.7763568394002505e-15,0.018711728167855074,0.008711728167855074
mixed,upwind,80,-0.7,0.01,0.5,150,0.0033333333333333335,0.021583643137283264,0.935858186741449,-4.884981308350689e-15,0.014367625387710883,0.0043676253877108825
mixed,upwind,160,-0.7,0.01,0.5,460,0.0010869565217391304,0.011034593655300242,0.9679048962575719,-1.4876988529977098e-14,0.012185934330497012,0.002185934330497012
mixed,upwind,320,-0.7,0.01,0.5,1560,0.0003205128205128205,0.005578945263399649,0.9839692020200015,-5.007105841059456e-14,0.011093393601050019,0.0010933936010500186
mixed,mc,40,-0.7,0.01,0.5,55,0.00909090909090909,0.0011166813265858417,,-1.7763568394002505e-15,0.010039668299409138,3.9668299409137756e-05
mixed,mc,80,-0.7,0.01,0.5,150,0.0033333333333333335,0.0002818057538685859,1.9864445610409482,-4.884981308350689e-15,0.010001951339652022,1.951339652021822e-06
mixed,mc,160,-0.7,0.01,0.5,460,0.0010869565217391304,7.269907157933936e-05,1.9546922235867468,-1.4654943925052066e-14,0.009999578441409746,-4.215585902543617e-07
mixed,mc,320,-0.7,0.01,0.5,1560,0.0003205128205128205,1.84085232094882e-05,1.9815630462576526,-5.0182080713057076e-14,0.009999785395298793,-2.1460470120762687e-07
heat,upwind,40,0,0.02,0.5,40,0.0125,0.00017403086013582092,,-9.992007221626409e-16,0.019958911256912314,-4.108874308768676e-05
heat,upwind,80,0,0.02,0.5,160,0.003125,4.3522118150035594e-05,1.9995224785898815,-5.662137425588298e-15,0.019989721288279146,-1.0278711720854844e-05
heat,upwind,160,0,0.02,0.5,640,0.00078125,1.0881392068749773e-05,1.9998856378984367,-2.0539125955565396e-14,0.019997429922832762,-2.570077167238227e-06
heat,upwind,320,0,0.02,0.5,2560,0.0001953125,2.7204013255708454e-06,1.9999717289896926,-8.304468224196171e-14,0.019999357455893645,-6.425441063558079e-07
heat,mc,40,0,0.02,0.5,40,0.0125,0.00017403086013582092,,-9.992007221626409e-16,0.019958911256912314,-4.108874308768676e-05
heat,mc,80,0,0.02,0.5,160,0.003125,4.3522118150035594e-05,1.9995224785898815,-5.662137425588298e-15,0.019989721288279146,-1.0278711720854844e-05
heat,mc,160,0,0.02,0.5,640,0.00078125,1.0881392068749773e-05,1.9998856378984367,-2.0539125955565396e-14,0.019997429922832762,-2.570077167238227e-06
heat,mc,320,0,0.02,0.5,2560,0.0001953125,2.7204013255708454e-06,1.9999717289896926,-8.304468224196171e-14,0.019999357455893645,-6.425441063558079e-07
